NAME,NUMBER,CLASS
Raira Bhaskara,14,Seeded A
Indra Feryanto,18,Seeded A
Arwin Taruna,20,Seeded A
Fickry Husein Segeir,22,Seeded A
Raditya Indera,23,Seeded A
Jaka Siswoyo,29,Seeded A
Muhammad Erlangga Arafanto,34,Seeded A
Mohammad Faiz Rayyan,61,Seeded A
Andika Rama Maulana,69,Seeded A
Muhammad Fikri Azka,74,Seeded A
Tubagus Farhan Naufal,78,Seeded A
Pradana Yogatama,96,Seeded A
Mada Andhika,99,Seeded A
Ferdian Aditya Pratama,120,Seeded A
Pandu Hartanto,154,Seeded A
Ferris Stanley,169,Seeded A
GUEST 0,100,Seeded A
GUEST 1,101,Seeded A
GUEST 2,102,Seeded A
GUEST 3,103,Seeded A
GUEST 4,104,Seeded A
GUEST 5,105,Seeded A
